start_city,start_cnt
420281,267
420300,1328
420302,13
420303,8
420321,14
420322,14
420323,14
420324,11
420325,21
420381,71
420500,3733
420502,6
420503,28
420504,10
420505,29
420506,12
420525,15
420526,157
420527,44
420528,75
420529,20
420581,60
420582,267
420583,139
420600,5137
420602,55
420606,29
420607,73
420624,56
420625,77
420626,28
420682,82
420683,318
420684,180
420700,1085
420702,3
420703,25
420704,10
420800,2720
420802,13
420804,13
420821,119
420822,72
420881,157
420900,2423
420902,39
420921,34
420922,95
420923,53
420981,171
420982,78
420984,195
421000,4254
421002,119
421003,71
421022,136
421023,121
421024,25
421081,48
421083,114
421087,102
421100,3699
421102,53
421121,70
421122,152
421123,136
421124,60
421125,172
421126,247
421127,365
421181,908
421182,181
421200,1606
421202,39
421221,90
421222,57
421223,26
421224,34
421281,75
421300,2876
421302,16
421321,74
421381,101
422800,1038
422801,56
422802,110
422822,25
422823,42
422825,16
422826,22
422827,29
422828,18
429004,1268
429005,777
429006,584
429021,67
430000,3285
430100,10208
430102,30
430103,34
430104,28
430105,28
430111,48
430121,159
430122,52
430124,236
430181,654
430200,1759
430202,11
430203,6
430204,7
430211,8
430221,14
430223,55
430224,47
430225,34
430281,118
430300,1429
430302,5
430304,14
430321,23
430381,36
430382,11
430400,1762
430405,2
430406,7
430407,16
430408,14
430412,9
430421,22
430422,10
430423,26
430424,16
430426,23
430481,54
430482,24
430500,1221
430502,14
430503,8
430511,6
430521,74
430522,11
430523,22
430524,20
430525,24
430527,14
430528,20
430529,17
430581,28
430600,3357
430602,36
430603,18
430611,38
430621,45
430623,69
430624,47
430626,57
430681,152
430682,68
430700,1947
430702,19
430703,13
430721,34
430722,47
430723,85
430724,20
430725,20
430726,24
430781,15
430800,258
430802,6
430811,2
430821,8
430822,6
430900,1129
430902,6
430903,16
430910,3
430921,33
430922,12
430923,22
430981,22
431000,1333
431002,18
431003,9
431021,22
431022,28
431023,21
431024,32
431025,24
431026,28
431027,15
431028,22
431081,19
431100,900
431102,10
431103,26
431121,38
431122,10
431123,9
431124,36
431125,26
431126,20
431127,22
431128,23
431129,15
431200,1069
431202,15
431221,9
431222,14
431223,8
431224,19
431225,3
431226,5
431227,10
431228,12
431229,18
431230,11
431281,19
431300,761
431302,16
431321,24
431322,25
431381,23
431382,5
433100,426
433101,53
433122,8
433123,8
433124,9
433125,4
433126,2
433127,16
433130,14
440000,9559
440100,13954
440103,22
440104,9
440105,29
440106,39
440111,744
440112,258
440113,357
440114,237
440115,97
440116,47
440183,155
440184,93
440200,1005
440203,7
440204,4
440205,7
440222,12
440224,17
440229,23
440232,5
440233,10
440281,8
440282,18
440300,5542
440303,23
440304,11
440305,50
440306,232
440307,234
440308,15
440400,832
440402,24
440403,24
440404,15
440500,2479
440507,30
440511,15
440512,9
440513,26
440514,36
440515,24
440523,5
440600,6149
440604,56
440605,267
440606,398
440607,140
440608,52
440700,1324
440703,21
440704,6
440705,34
440781,22
440783,53
440784,27
440785,36
440800,1876
440802,5
440803,7
440804,7
440811,11
440823,33
440825,78
440881,25
440882,30
440883,24
440900,728
440902,8
440903,1
440923,26
440981,14
440982,11
440983,7
441200,598
441202,5
441203,8
441223,8
441224,13
441225,8
441226,4
441283,15
441284,41
441300,2178
441302,43
441303,118
441322,74
441323,34
441324,30
441400,728
441402,7
441421,10
441422,9
441423,13
441424,10
441426,11
441427,10
441481,29
441500,361
441502,1
441521,11
441523,2
441581,12
441600,738
441602,9
441621,10
441622,18
441623,22
441624,8
441625,5
441700,411
441702,1
441721,7
441723,6
441781,18
441800,1040
441802,40
441821,22
441823,11
441825,5
441826,3
441827,10
441881,82
441882,58
441900,6555
441901,22
441902,15
441903,18
441904,21
441905,32
441906,18
441907,20
441908,66
441909,19
441910,5
441911,12
441912,23
441913,8
441914,12
441915,9
441916,6
441917,8
441918,8
441919,6
441920,9
441921,8
441922,5
441923,8
441924,4
441925,11
441926,7
441927,10
441928,6
441929,3
441930,5
441931,12
441932,26
442000,1520
442075,4
442076,2
442077,3
442078,3
442080,2
442081,1
442083,1
442086,1
442087,2
442088,4
442090,1
442091,2
442092,2
442094,1
442095,1
442096,2
442097,2
442098,1
442099,646
445100,946
445102,6
445121,19
445122,22
445200,2167
445202,23
445221,14
445222,7
445224,25
445281,81
445300,308
445302,5
445321,10
445322,4
445323,1
445381,15
450000,1706
450100,3148
450102,22
450103,2
450105,18
450107,18
450108,2
450109,3
450122,42
450123,7
450124,2
450125,6
450126,29
450127,33
450200,1565
450202,4
450203,2
450204,15
450205,12
450221,19
450222,7
450223,10
450224,4
450225,13
450226,9
450300,1514
450302,2
450303,8
450304,8
450305,8
450311,1
450321,8
450322,4
450323,6
450324,48
450325,9
450326,1
450327,1
450328,5
450329,4
450330,6
450331,8
450332,7
450400,263
450403,3
450421,2
450422,6
450423,2
450481,21
450500,341
450502,3
450512,4
450521,20
450600,228
450602,4
450603,1
450621,1
450681,22
450700,236
450702,3
450703,1
450721,19
450722,9
450800,338
450802,2
450803,2
450804,3
450821,11
450881,10
450900,588
450902,14
450921,3
450922,8
450923,11
450924,2
450981,7
451000,459
451002,3
451021,32
451022,8
451023,20
451024,8
451025,14
451026,7
451027,2
451028,2
451029,11
451030,3
451031,6
451100,363
451102,8
451119,1
451121,3
451122,2
451123,9
451200,251
451202,7
451221,5
451222,2
451223,2
451224,1
451225,1
451226,1
451227,5
451228,2
451229,1
451281,14
451300,225
451302,3
451321,3
451322,9
451323,6
451324,2
451400,422
451402,3
451421,7
451422,2
451423,7
451424,6
451425,1
451481,117
460000,1384
460100,1377
460105,16
460106,2
460107,5
460108,2
460200,276
469001,13
469002,63
469003,91
469005,31
469006,43
469007,55
469021,16
469022,9
469023,40
469024,19
469025,6
469026,18
469027,28
469028,48
469029,10
469030,7
469031,1
469032,1
469033,2
500000,70
500100,6215
500101,240
500102,122
500103,7
500104,19
500105,19
500106,32
500107,69
500108,12
500109,19
500110,8
500111,7
500112,47
500113,24
500114,71
500115,52
500116,49
500117,40
500118,56
500119,19
500122,23
500123,33
500124,37
500125,33
500126,50
500127,33
500128,61
500129,8
500130,20
500131,65
500132,23
500133,25
500134,25
500135,36
500136,34
500137,31
500138,20
500140,29
500141,60
500142,39
500143,48
510000,1720
510100,6654
510104,15
510105,4
510106,11
510107,15
510108,5
510112,35
510113,19
510114,117
510115,29
510121,18
510122,72
510124,25
510129,25
510131,14
510132,28
510181,18
510182,32
510183,20
510184,33
510300,194
510303,2
510321,2
510322,1
510400,383
510402,3
510411,2
510421,11
510500,341
510503,1
510504,4
510521,5
510522,7
510524,9
510525,5
510600,301
510603,1
510623,2
510626,1
510681,10
510682,7
510683,3
510700,421
510703,4
510722,10
510723,1
510725,1
510726,1
510781,11
510800,172
510802,3
510812,1
510821,5
510823,3
510824,4
510900,191
510903,2
510904,1
510921,3
510922,6
511000,177
511002,1
511011,2
511024,9
511025,7
511028,13
511100,302
511102,1
511111,1
511112,2
511113,1
511123,7
511124,2
511126,37
511129,3
511132,1
511133,1
511181,3
511300,254
511303,3
511304,3
511321,2
511322,2
511323,2
511324,8
511325,3
511381,6
511400,235
511402,1
511421,9
511422,6
511423,4
511424,4
511425,3
511500,321
511502,2
511521,4
511522,1
511523,1
511524,1
511525,3
511526,2
511527,6
511528,4
511529,1
511600,193
511602,4
511621,2
511622,4
511623,6
511681,3
511700,293
511702,1
511721,3
511722,4
511724,2
511725,4
511781,9
511800,151
511821,2
511822,2
511823,4
511824,10
511825,1
511826,4
511900,122
511902,2
511921,1
511922,1
511923,7
512000,176
512002,2
512021,7
512081,15
513200,46
513221,5
513222,1
513225,2
513227,1
513232,1
513300,56
513321,3
513322,1
513336,1
513338,1
513400,427
513401,125
513422,1
513423,19
513424,7
513425,32
513426,3
513427,3
513428,1
513429,1
513430,1
513431,1
513433,5
